,sequence,start,end
6693,P03311,1337,1624
6694,P03313,1101,1214
6695,P03317,400,497
6696,P03317,532,723
6697,P03317,1524,1672
6698,P03317,1785,1881
6699,P03317,1893,2052
6700,P03318,94,244
6701,P03318,308,534
6702,P03322,88,236
6703,P03323,88,237
6704,P03326,88,206
6705,P03327,88,164
6706,P03352,1,164
6707,P03354,88,257
6708,P03361,1072,1174
6709,P03364,262,344
6710,P03370,1,164
6711,P03371,1,80
6712,P03373,1,125
6713,P03379,46,515
6714,P03379,534,638
6715,P03379,808,982
6716,P03396,1,321
6717,P03397,1,313
6718,P03400,1,163
6719,P03409,225,353
6720,P03410,225,331
6721,P03412,1,308
6722,P03414,1,119
6723,P03481,1,102
6724,P03542,95,331
6725,P03543,1,75
6726,P03543,90,330
6727,P03544,95,233
6728,P03544,248,331
6729,P03557,1,138
6730,P03557,193,522
6731,P03558,1,136
6732,P03558,188,520
6733,P03559,1,110
6734,P03559,188,520
6735,P03567,233,352
6736,P03582,181,268
6737,P03583,182,268
6738,P03585,173,283
6739,P03586,467,665
6740,P03586,1086,1161
6741,P03587,467,665
6742,P03588,400,499
6743,P03589,430,833
6744,P03593,31,192
6745,P03593,209,317
6746,P03594,689,822
6747,P03599,80,231
6748,P03599,242,459
6749,P03600,1,489
6750,P03600,594,938
6751,P03600,1688,1866
6752,P03624,126,291
6753,P03627,1,278
6754,P03631,381,513
6755,P03632,1,116
6756,P03632,396,554
6757,P03655,185,348
6758,P03656,185,348
6759,P03657,185,348
6760,P03658,167,365
6761,P03661,274,424
6762,P03663,258,434
6763,P03671,26,106
6764,P03687,118,271
6765,P03688,119,333
6766,P03690,200,725
6767,P03691,1,271
6768,P03694,277,508
6769,P03698,177,261
6770,P03711,340,414
6771,P03716,1,83
6772,P03719,1,85
6773,P03730,137,223
6774,P03739,1,183
6775,P03742,129,232
6776,P03742,249,372
6777,P03744,1,764
6778,P03747,1,794
6779,P03748,264,358
6780,P03749,992,1132
6781,P03750,1,133
6782,P03752,1,410
6783,P03753,172,296
6784,P03754,1,167
6785,P03754,442,525
6786,P03756,102,182
6787,P03761,1,96
6788,P03766,194,290
6789,P03778,1,81
6790,P03781,1,121
6791,P03786,1,78
6792,P03839,1,114
6793,P03850,1,87
6794,P03851,1,84
6795,P03852,1,106
6796,P03857,199,403
6797,P03861,20,120
6798,P03864,199,295
6799,P03865,239,315
6800,P03872,86,176
6801,P03872,189,296
6802,P03876,145,231
6803,P03935,1,112
6804,P03936,1,210
6805,P03949,1,108
6806,P03949,665,843
6807,P03949,864,1112
6808,P04025,137,323
6809,P04146,261,403
6810,P04146,1048,1248
6811,P04149,1,201
6812,P04197,241,361
6813,P04197,527,657
6814,P04219,1,140
6815,P04282,1,311
6816,P04292,38,172
6817,P04293,38,172
6818,P04299,1,84
6819,P04305,1,251
6820,P04305,262,341
6821,P04308,460,637
6822,P04323,125,220
6823,P04331,123,433
6824,P04331,461,599
6825,P04412,1333,1426
6826,P04413,1,84
6827,P04413,106,189
6828,P04477,1,97
6829,P04478,1,98
6830,P04480,213,322
6831,P04481,1,216
6832,P04485,292,420
6833,P04507,149,243
6834,P04517,1575,1886
6835,P04517,1899,2041
6836,P04518,30,263
6837,P04520,1,100
6838,P04523,247,392
6839,P04524,1,185
6840,P04534,153,269
6841,P04577,769,858
6842,P04821,158,237
6843,P04821,252,391
6844,P04857,419,517
6845,P04858,424,517
6846,P04859,1,255
6847,P04860,1,255
6848,P04867,1,235
6849,P04869,90,204
6850,P04889,36,116
6851,P04891,1,100
6852,P04927,93,244
6853,P04928,92,258
6854,P05047,160,283
6855,P05068,870,972
6856,P05078,120,255
6857,P05080,449,630
6858,P05080,655,900
6859,P05080,1156,1239
6860,P05103,296,376
6861,P05229,1,177
6862,P05301,1,240
6863,P05316,1,79
6864,P05399,1,87
6865,P05399,100,330
6866,P05401,26,115
6867,P05401,176,496
6868,P05433,88,205
6869,P05461,1,244
6870,P05463,1,95
6871,P05467,1,169
6872,P05468,1,89
6873,P05468,155,234
6874,P05468,249,408
6875,P05468,884,994
6876,P05469,1,162
6877,P05470,402,597
6878,P05472,881,982
6879,P05473,1,132
6880,P05499,1,124
6881,P05511,1,205
6882,P05519,636,712
6883,P05519,904,1004
6884,P05528,1,217
6885,P05659,1279,1482
6886,P05666,1,95
6887,P05669,80,173
6888,P05671,1,104
6889,P05678,1,97
6890,P05679,1,194
6891,P05680,1,123
6892,P05686,39,169
6893,P05710,496,610
6894,P05720,1,110
6895,P05723,25,111
6896,P05724,1,124
6897,P05728,370,458
6898,P05729,1,406
6899,P05818,33,170
6900,P05831,105,208
6901,P05833,1,288
6902,P05840,1,99
6903,P05840,111,290
6904,P05840,331,455
6905,P05841,1,84
6906,P05842,196,310
6907,P05842,650,885
6908,P05846,1,116
6909,P05846,377,493
6910,P05883,757,856
6911,P05884,760,881
6912,P05886,723,865
6913,P05893,432,506
6914,P05894,432,506
6915,P05895,441,516
6916,P05990,1837,1913
6917,P05995,30,158
6918,P05995,261,361
6919,P06012,42,305
6920,P06018,1,241
6921,P06024,179,260
6922,P06154,1,98
6923,P06162,1,105
6924,P06162,118,237
6925,P06163,1,105
6926,P06163,118,348
6927,P06225,1,162
6928,P06226,1,101
6929,P06227,1,197
6930,P06441,778,1225
6931,P06441,1329,1461
6932,P06442,778,852
6933,P06444,88,237
6934,P06475,91,259
6935,P06484,136,238
6936,P06486,1,75
6937,P06518,23,151
6938,P06529,1,576
6939,P06546,154,423
6940,P06546,440,676
6941,P06546,716,790
6942,P06546,831,1053
6943,P06620,1,108
6944,P06651,16,156
6945,P06684,1583,1680
6946,P06694,201,579
6947,P06695,170,305
6948,P06695,322,402
6949,P06695,416,512
6950,P06700,1,89
6951,P06710,569,643
6952,P06724,1,254
6953,P06725,449,561
6954,P06726,441,535
6955,P06751,637,859
6956,P06776,1,163
6957,P06777,1,86
6958,P06784,1,94
6959,P06835,709,813
6960,P06843,61,178
6961,P06856,23,160
6962,P06856,860,1006
6963,P06876,557,636
6964,P06925,1,109
6965,P06936,88,239
6966,P06937,37,188
6967,P07048,1,84
6968,P07067,1,165
6969,P07067,187,565
6970,P07067,579,783
6971,P07067,823,1040
6972,P07067,1059,1242
6973,P07069,1,84
6974,P07070,1,102
6975,P07072,103,205
6976,P07096,1,139
6977,P07112,218,307
6978,P07112,326,409
6979,P07167,1,97
6980,P07198,1,81
6981,P07243,1,99
6982,P07248,1229,1323
6983,P07252,1,121
6984,P07252,133,654
6985,P07254,1,75
6986,P07296,566,653
6987,P07297,79,156
6988,P07298,524,671
6989,P07299,1,93
6990,P07387,22,157
6991,P07387,171,446
6992,P07390,1,489
6993,P07394,1,125
6994,P07476,479,585
6995,P07527,12,111
6996,P07527,127,213
6997,P07531,1,345
6998,P07534,122,397
6999,P07534,454,599
7000,P07537,1,83
7001,P07572,136,322
7002,P07579,20,149
7003,P07580,1,195
7004,P07611,1,207
7005,P07626,1,85
7006,P07627,1,85
7007,P07627,103,216
7008,P07643,36,211
7009,P07643,226,345
7010,P07645,326,402
7011,P07664,1,115
7012,P07665,1,129
7013,P07696,1,166
7014,P07700,388,483
7015,P07701,1,163
7016,P07715,1,90
7017,P07719,1,86
7018,P07760,173,270
7019,P07767,323,492
7020,P07776,272,419
7021,P07777,388,509
7022,P07789,84,228
7023,P07806,1,76
7024,P07856,1,143
7025,P07856,312,458
7026,P07898,1481,1582
7027,P07908,1,329
7028,P07915,17,102
7029,P07917,38,172
7030,P07918,26,173
7031,P07928,1,85
7032,P07928,390,522
7033,P08018,1,177
7034,P08021,18,149
7035,P08044,1,75
7036,P08061,1,83
7037,P08076,120,350
7038,P08090,47,148
7039,P08097,1,83
7040,P08115,1,137
7041,P08115,231,314
7042,P08116,1,142
7043,P08120,1,88
7044,P08155,566,650
7045,P08155,663,757
7046,P08161,1,803
7047,P08195,1,101
7048,P08231,1,138
7049,P08232,1,138
7050,P08291,1098,1204
7051,P08292,1099,1206
7052,P08313,81,240
7053,P08393,594,775
7054,P08405,165,400
7055,P08411,397,489
7056,P08411,510,717
7057,P08411,1511,1674
7058,P08411,1778,1968
7059,P08442,322,417
7060,P08468,1,129
7061,P08468,138,611
7062,P08468,624,800
7063,P08504,170,578
7064,P08543,1,146
7065,P08543,292,376
7066,P08544,944,1307
7067,P08544,1410,1640
7068,P08545,908,1308
7069,P08545,1410,1640
7070,P08546,19,122
7071,P08557,194,307
7072,P08557,354,495
7073,P08593,1,268
7074,P08617,778,1225
7075,P08638,812,886
7076,P08649,1646,1737
7077,P08677,85,259
7078,P08678,26,106
7079,P08678,158,279
7080,P08678,1900,2026
7081,P08685,1,83
7082,P08696,641,749
7083,P08696,763,846
7084,P08714,139,217
7085,P08715,1,244
7086,P08724,102,245
7087,P08725,1,80
7088,P08747,1,79
7089,P08764,1,81
7090,P08764,622,970
7091,P08794,1,245
7092,P08795,1,148
7093,P08834,219,316
7094,P08862,1,260
7095,P08922,1,88
7096,P08941,1,108
7097,P08953,21,99
7098,P08955,1584,1683
7099,P08955,1842,1918
7100,P08956,1,158
7101,P08964,1732,1928
7102,P08970,57,145
7103,P08970,627,732
7104,P08970,744,858
7105,P08979,61,264
7106,P08979,340,520
7107,P09007,1,134
7108,P09009,1,237
7109,P09040,1,133
7110,P09122,473,563
7111,P09129,1,173
7112,P09130,578,717
7113,P09135,1,89
7114,P09162,1,127
7115,P09208,88,170
7116,P09208,1937,2035
7117,P09231,676,756
7118,P09251,1,88
7119,P09252,1,131
7120,P09252,1108,1194
7121,P09256,1,378
7122,P09259,1,192
7123,P09263,218,356
7124,P09264,475,608
7125,P09266,1,108
7126,P09269,1,138
7127,P09269,152,241
7128,P09271,169,259
7129,P09272,45,140
7130,P09274,320,408
7131,P09275,287,364
7132,P09275,374,455
7133,P09285,1,143
7134,P09296,1,131
7135,P09309,161,427
7136,P09310,33,242
7137,P09310,258,346
7138,P09333,25,134
7139,P09333,329,417
7140,P09333,512,911
7141,P09346,196,362
7142,P09352,1,88
7143,P09368,1,102
7144,P09395,340,730
7145,P09399,1,148
7146,P09399,163,384
7147,P09459,1,165
7148,P09489,889,1045
7149,P09498,321,415
7150,P09498,845,942
7151,P09506,1,205
7152,P09506,409,607
7153,P09507,1,205
7154,P09507,409,556
7155,P09519,82,227
7156,P09519,246,327
7157,P09524,18,93
7158,P09524,190,512
7159,P09565,1,113
7160,P09694,36,170
7161,P09695,619,788
7162,P09696,1,109
7163,P09697,1,137
7164,P09699,332,492
7165,P09701,322,409
7166,P09702,1,103
7167,P09705,73,256
7168,P09705,360,462
7169,P09707,1,85
7170,P09709,1,163
7171,P09711,1,112
7172,P09715,523,720
7173,P09717,1,113
7174,P09719,30,310
7175,P09720,1,261
7176,P09722,335,566
7177,P09747,362,442
7178,P09748,362,444
7179,P09749,362,444
7180,P09751,362,456
7181,P09753,1,131
7182,P09753,179,345
7183,P09754,125,312
7184,P09783,47,179
7185,P09798,1,120
7186,P09798,765,840
7187,P09804,1,423
7188,P09804,884,995
7189,P09805,836,1024
7190,P09806,44,428
7191,P09807,23,249
7192,P09814,1873,2006
7193,P09815,1,152
7194,P09816,32,201
7195,P09817,539,688
7196,P09853,26,140
7197,P09853,305,383
7198,P09854,38,172
7199,P09892,17,114
7200,P09932,462,586
7201,P09937,1,338
7202,P09956,260,341
7203,P09956,501,575
7204,P09961,600,686
7205,P09983,1,243
7206,P0A015,270,352
7207,P0A047,1,125
7208,P0A048,1,125
7209,P0A049,1,125
7210,P0A053,19,202
7211,P0A053,540,630
7212,P0A054,19,202
7213,P0A054,540,630
7214,P0A055,19,202
7215,P0A055,540,630
7216,P0A0C5,194,367
7217,P0A0C6,194,367
7218,P0A0C7,194,367
7219,P0A1K3,1,112
7220,P0A1K4,1,112
7221,P0A1K5,1,292
7222,P0A1K6,1,292
7223,P0A1K9,1,139
7224,P0A1L0,1,139
7225,P0A1T0,1,106
7226,P0A1T1,1,106
7227,P0A1Y4,656,809
7228,P0A1Y5,656,809
7229,P0A1Y6,1,92
7230,P0A1Y7,1,92
7231,P0A225,1,97
7232,P0A226,1,97
7233,P0A239,1,124
7234,P0A240,1,124
7235,P0A2S7,1,98
7236,P0A2S8,1,98
7237,P0A302,46,127
7238,P0A303,46,127
7239,P0A366,868,970
7240,P0A367,868,970
7241,P0A368,868,970
7242,P0A370,843,943
7243,P0A371,843,943
7244,P0A372,843,943
7245,P0A373,317,443
7246,P0A373,915,1228
7247,P0A374,317,443
7248,P0A374,915,1228
7249,P0A375,877,1084
7250,P0A375,1098,1189
7251,P0A376,877,1084
7252,P0A376,1098,1189
7253,P0A3J7,52,126
7254,P0A3J8,52,126
7255,P0A3J9,52,126
7256,P0A3N8,21,126
7257,P0A3N9,21,126
7258,P0A3P0,21,126
7259,P0A3T4,1,84
7260,P0A3T5,1,84
7261,P0A3U0,495,599
7262,P0A3U1,495,599
7263,P0A3U2,74,148
7264,P0A3U3,74,148
7265,P0A3W2,50,220
7266,P0A3W3,50,220
7267,P0A461,342,482
7268,P0A462,342,482
7269,P0A4I5,1,205
7270,P0A4I6,1,205
7271,P0A4Y3,1,152
7272,P0A4Y3,165,263
7273,P0A5D8,129,465
7274,P0A5P5,121,200
7275,P0A5P9,57,168
7276,P0A643,1,80
7277,P0A685,277,382
7278,P0A693,196,304
7279,P0A9U1,235,319
7280,P0A9U2,235,319
7281,P0AAS5,1,122
7282,P0AAS6,1,122
7283,P0AAU5,1,108
7284,P0AAU6,1,108
7285,P0AD35,1,122
7286,P0AD36,1,122
7287,P0ADM6,25,218
7288,P0ADM7,25,218
7289,P0ADM8,173,249
7290,P0ADM9,173,249
7291,P0C012,1,93
7292,P0C051,1,130
7293,P0C063,2849,2945
7294,P0C064,2847,2943
7295,P0C081,1,209
7296,P0C082,1,209
7297,P0C083,1,282
7298,P0C083,844,953
7299,P0C084,1,282
7300,P0C084,844,953
7301,P0C085,1,209
7302,P0C092,1,89
7303,P0C0L4,1653,1744
7304,P0C0L5,1653,1744
7305,P0C0V6,1,201
7306,P0C135,58,177
7307,P0C137,58,177
7308,P0C139,58,177
7309,P0C142,58,177
7310,P0C198,428,510
7311,P0C198,524,607
7312,P0C1C7,352,450
7313,P0C1D2,1,96
7314,P0C1D6,1,89
7315,P0C1D7,1,89
7316,P0C1E6,425,501
7317,P0C1J0,1,80
7318,P0C1J2,309,386
7319,P0C1J2,398,480
7320,P0C1J7,263,385
7321,P0C1T6,1,85
7322,P0C1W3,1,93
7323,P0C1W5,1,92
7324,P0C1W6,16,95
7325,P0C1X4,1,85
7326,P0C201,1,86
7327,P0C213,225,353
7328,P0C222,224,352
7329,P0C261,42,129
7330,P0C282,80,201
7331,P0C2F6,1,175
7332,P0C2H0,84,158
7333,P0C2I2,165,400
7334,P0C2I2,480,638
7335,P0C2I3,165,400
7336,P0C2I3,480,638
7337,P0C2I4,165,438
7338,P0C2I5,165,400
7339,P0C2I5,480,638
7340,P0C2I6,165,400
7341,P0C2I6,480,638
7342,P0C2I7,165,400
7343,P0C2I7,480,638
7344,P0C2I8,165,400
7345,P0C2I9,165,400
7346,P0C2I9,480,638
7347,P0C2J0,165,400
7348,P0C2J0,480,638
7349,P0C2J1,165,400
7350,P0C2J1,480,638
7351,P0C2J2,115,367
7352,P0C2J3,115,367
7353,P0C2J3,382,576
7354,P0C2J4,115,367
7355,P0C2J5,115,367
7356,P0C2J5,382,576
7357,P0C2J6,115,367
7358,P0C2J7,1,212
7359,P0C2N1,1,102
7360,P0C2S9,1,76
7361,P0C2W2,32,285
7362,P0C2W2,299,465
7363,P0C2W2,484,570
7364,P0C310,22,249
7365,P0C311,22,249
7366,P0C471,1,85
7367,P0C472,1,85
7368,P0C531,117,201
7369,P0C5B8,54,141
7370,P0C5E1,1,128
7371,P0C5K7,1,136
7372,P0C5L2,1,88
7373,P0C5L6,1,82
7374,P0C5M3,1,85
7375,P0C5M9,1,85
7376,P0C5N3,1,154
7377,P0C5P0,1,93
7378,P0C5P7,1,76
7379,P0C5R2,1,82
7380,P0C5R3,1,77
7381,P0C5R5,1,86
7382,P0C5S6,1,82
7383,P0C5S6,102,429
7384,P0C5Z8,1,177
7385,P0C5Z8,1012,1098
7386,P0C633,19,214
7387,P0C644,1284,1434
7388,P0C647,245,359
7389,P0C657,1,144
7390,P0C675,190,290
7391,P0C6B8,873,982
7392,P0C6D5,1,130
7393,P0C6E9,1,118
7394,P0C6F1,25,128
7395,P0C6F3,1,711
7396,P0C6F3,802,1683
7397,P0C6F3,2042,2156
7398,P0C6F3,2172,3060
7399,P0C6F3,3162,3274
7400,P0C6F3,3462,3649
7401,P0C6F3,3678,4403
7402,P0C6F4,140,240
7403,P0C6F4,255,668
7404,P0C6F4,687,1637
7405,P0C6F4,1996,2217
7406,P0C6F4,2239,2412
7407,P0C6F4,2425,2931
7408,P0C6F4,3047,3124
7409,P0C6F4,3308,3417
7410,P0C6F4,3558,4277
7411,P0C6F5,128,818
7412,P0C6F5,2005,2214
7413,P0C6F5,2227,2622
7414,P0C6F5,2634,3148
7415,P0C6F5,3577,3764
7416,P0C6F6,62,1081
7417,P0C6F6,1457,1636
7418,P0C6F6,1947,2123
7419,P0C6F6,2143,2915
7420,P0C6F6,3467,3586
7421,P0C6F7,1,847
7422,P0C6F7,1059,1141
7423,P0C6F7,1452,1533
7424,P0C6F7,2003,2129
7425,P0C6F7,2240,2510
7426,P0C6F7,2522,2889
7427,P0C6F7,2907,3111
7428,P0C6F7,3120,3205
7429,P0C6F7,3607,3891
7430,P0C6F8,128,818
7431,P0C6F8,2024,2202
7432,P0C6F8,2214,2515
7433,P0C6F8,2529,2610
7434,P0C6F8,2622,2740
7435,P0C6F8,2756,3136
7436,P0C6F8,3565,3752
7437,P0C6G1,1,83
7438,P0C6G2,1,83
7439,P0C6K4,1,311
7440,P0C6K4,330,436
7441,P0C6K4,832,920
7442,P0C6K7,1,493
7443,P0C6K7,759,936
7444,P0C6K8,1,92
7445,P0C6P1,1,275
7446,P0C6T4,1,847
7447,P0C6T4,1439,1526
7448,P0C6T4,1996,2122
7449,P0C6T4,2138,2217
7450,P0C6T4,2233,2503
7451,P0C6T4,2515,2882
7452,P0C6T4,2901,3104
7453,P0C6T4,3113,3198
7454,P0C6T4,3600,3884
7455,P0C6T5,1,851
7456,P0C6T5,1061,1182
7457,P0C6T5,1480,1558
7458,P0C6T5,2034,2264
7459,P0C6T5,2288,2926
7460,P0C6T5,2941,3151
7461,P0C6T5,3647,3779
7462,P0C6T5,3792,3932
7463,P0C6T6,1,773
7464,P0C6T6,1340,1425
7465,P0C6T6,1868,1973
7466,P0C6T6,2000,3010
7467,P0C6T6,3404,3616
7468,P0C6T7,128,818
7469,P0C6T7,1997,2206
7470,P0C6T7,2219,2614
7471,P0C6T7,2626,2751
7472,P0C6T7,2762,3140
7473,P0C6T7,3569,3756
7474,P0C6T8,355,610
7475,P0C6T8,628,849
7476,P0C6T8,1430,1564
7477,P0C6T8,2024,3029
7478,P0C6T8,3054,3152
7479,P0C6T8,3548,3729
7480,P0C6T8,3744,3831
7481,P0C6T9,355,610
7482,P0C6T9,628,849
7483,P0C6T9,1449,1564
7484,P0C6T9,2024,3029
7485,P0C6T9,3054,3152
7486,P0C6T9,3548,3729
7487,P0C6T9,3744,3831
7488,P0C6U0,355,849
7489,P0C6U0,1429,1564
7490,P0C6U0,2024,3029
7491,P0C6U0,3054,3152
7492,P0C6U0,3548,3729
7493,P0C6U0,3744,3831
7494,P0C6U1,355,849
7495,P0C6U1,1429,1564
7496,P0C6U1,2024,3152
7497,P0C6U1,3548,3729
7498,P0C6U1,3744,3831
7499,P0C6U2,107,1031
7500,P0C6U2,1435,1598
7501,P0C6U2,1906,1986
7502,P0C6U2,2001,2145
7503,P0C6U2,2263,2738
7504,P0C6U2,3448,3541
7505,P0C6U3,331,807
7506,P0C6U3,2162,2606
7507,P0C6U3,2619,3149
7508,P0C6U3,3158,3241
7509,P0C6U3,3636,3901
7510,P0C6U4,331,807
7511,P0C6U4,2132,2576
7512,P0C6U4,2589,2809
7513,P0C6U4,2829,3119
7514,P0C6U4,3128,3211
7515,P0C6U4,3606,3871
7516,P0C6U5,331,807
7517,P0C6U5,2112,2556
7518,P0C6U5,2569,2789
7519,P0C6U5,2809,3099
7520,P0C6U5,3108,3191
7521,P0C6U5,3586,3851
7522,P0C6U6,1,739
7523,P0C6U6,756,1041
7524,P0C6U6,1420,1548
7525,P0C6U6,1876,2123
7526,P0C6U6,2240,2706
7527,P0C6U6,2723,2842
7528,P0C6U6,3435,3517
7529,P0C6U7,354,698
7530,P0C6U7,714,849
7531,P0C6U7,1429,1564
7532,P0C6U7,2028,2950
7533,P0C6U7,3075,3152
7534,P0C6U7,3548,3729
7535,P0C6U7,3744,3831
7536,P0C6U8,128,818
7537,P0C6U8,1999,2208
7538,P0C6U8,2222,2616
7539,P0C6U8,2628,2753
7540,P0C6U8,2764,3142
7541,P0C6U8,3571,3758
7542,P0C6U9,356,567
7543,P0C6U9,1424,1557
7544,P0C6U9,2009,2160
7545,P0C6U9,2173,2711
7546,P0C6U9,2730,3062
7547,P0C6U9,3103,3182
7548,P0C6U9,3580,3864
7549,P0C6V0,356,567
7550,P0C6V0,633,830
7551,P0C6V0,1519,1610
7552,P0C6V0,2062,2214
7553,P0C6V0,2225,2765
7554,P0C6V0,2784,3116
7555,P0C6V0,3157,3236
7556,P0C6V0,3634,3916
7557,P0C6V1,356,567
7558,P0C6V1,636,849
7559,P0C6V1,1518,1609
7560,P0C6V1,2088,2217
7561,P0C6V1,2228,3119
7562,P0C6V1,3160,3243
7563,P0C6V1,3638,3922
7564,P0C6V2,147,444
7565,P0C6V2,690,930
7566,P0C6V2,1850,2032
7567,P0C6V2,2047,2399
7568,P0C6V2,2411,2543
7569,P0C6V2,2553,2781
7570,P0C6V2,3178,3470
7571,P0C6V3,372,742
7572,P0C6V3,816,994
7573,P0C6V3,1483,2563
7574,P0C6V3,2580,2682
7575,P0C6V3,3084,3374
7576,P0C6V4,372,742
7577,P0C6V4,816,994
7578,P0C6V4,1483,2563
7579,P0C6V4,2580,2682
7580,P0C6V4,3084,3374
7581,P0C6V5,372,742
7582,P0C6V5,816,920
7583,P0C6V5,1478,1719
7584,P0C6V5,1742,2684
7585,P0C6V5,3086,3376
7586,P0C6V6,37,281
7587,P0C6V6,296,1069
7588,P0C6V6,1933,2177
7589,P0C6V6,2359,2536
7590,P0C6V6,2549,2900
7591,P0C6V6,3352,3575
7592,P0C6V7,1,711
7593,P0C6V7,802,1683
7594,P0C6V7,2042,2156
7595,P0C6V7,2172,3060
7596,P0C6V7,3162,3274
7597,P0C6V7,3462,3649
7598,P0C6V7,3678,4402
7599,P0C6V7,4639,4968
7600,P0C6V7,5493,5656
7601,P0C6V7,5949,6450
7602,P0C6V8,140,240
7603,P0C6V8,255,668
7604,P0C6V8,687,1637
7605,P0C6V8,1996,2217
7606,P0C6V8,2239,2412
7607,P0C6V8,2425,2982
7608,P0C6V8,3005,3124
7609,P0C6V8,3308,3417
7610,P0C6V8,3558,4276
7611,P0C6V8,4518,4768
7612,P0C6V8,5369,5521
7613,P0C6V8,5830,6326
7614,P0C6V9,128,818
7615,P0C6V9,2005,2214
7616,P0C6V9,2227,2622
7617,P0C6V9,2634,3148
7618,P0C6V9,3577,3764
7619,P0C6V9,4742,4871
7620,P0C6V9,5392,5580
7621,P0C6W0,62,1081
7622,P0C6W0,1457,1636
7623,P0C6W0,1947,2123
7624,P0C6W0,2143,2915
7625,P0C6W0,3467,3586
7626,P0C6W0,4473,4560
7627,P0C6W0,5123,5293
7628,P0C6W1,1,847
7629,P0C6W1,1059,1141
7630,P0C6W1,1452,1533
7631,P0C6W1,2003,2129
7632,P0C6W1,2240,2510
7633,P0C6W1,2522,2889
7634,P0C6W1,2907,3111
7635,P0C6W1,3120,3205
7636,P0C6W1,3607,3891
7637,P0C6W1,5446,5575
7638,P0C6W2,128,818
7639,P0C6W2,2024,2202
7640,P0C6W2,2214,2515
7641,P0C6W2,2529,2610
7642,P0C6W2,2622,2740
7643,P0C6W2,2756,3136
7644,P0C6W2,3565,3752
7645,P0C6W2,4730,4859
7646,P0C6W2,5380,5568
7647,P0C6W3,1,847
7648,P0C6W3,1031,1147
7649,P0C6W3,1445,1526
7650,P0C6W3,1996,2122
7651,P0C6W3,2138,2217
7652,P0C6W3,2233,2503
7653,P0C6W3,2515,2882
7654,P0C6W3,2901,3104
7655,P0C6W3,3113,3198
7656,P0C6W3,3600,3884
7657,P0C6W3,5439,5568
7658,P0C6W4,1,851
7659,P0C6W4,1061,1182
7660,P0C6W4,1480,1558
7661,P0C6W4,2034,2264
7662,P0C6W4,2288,2926
7663,P0C6W4,2941,3151
7664,P0C6W4,3647,3779
7665,P0C6W4,3792,3932
7666,P0C6W4,5486,5675
7667,P0C6W5,1,773
7668,P0C6W5,1340,1425
7669,P0C6W5,1868,1973
7670,P0C6W5,2000,3010
7671,P0C6W5,3404,3616
7672,P0C6W5,5131,5238
7673,P0C6W6,128,818
7674,P0C6W6,1997,2206
7675,P0C6W6,2219,2614
7676,P0C6W6,2626,2751
7677,P0C6W6,2762,3140
7678,P0C6W6,3569,3756
7679,P0C6W6,4734,4863
7680,P0C6W6,5384,5573
7681,P0C6W7,355,610
7682,P0C6W7,628,849
7683,P0C6W7,1429,1564
7684,P0C6W7,2024,3029
7685,P0C6W7,3054,3152
7686,P0C6W7,3548,3729
7687,P0C6W7,3744,3831
7688,P0C6W8,355,610
7689,P0C6W8,628,849
7690,P0C6W8,1429,1564
7691,P0C6W8,2024,3029
7692,P0C6W8,3054,3152
7693,P0C6W8,3548,3729
7694,P0C6W8,3744,3831
7695,P0C6W9,355,849
7696,P0C6W9,1429,1564
7697,P0C6W9,2024,3029
7698,P0C6W9,3054,3152
7699,P0C6W9,3548,3729
7700,P0C6W9,3744,3831
7701,P0C6W9,5382,5510
7702,P0C6X0,355,849
7703,P0C6X0,1429,1564
7704,P0C6X0,2024,3152
7705,P0C6X0,3548,3729
7706,P0C6X0,3744,3831
7707,P0C6X0,5382,5511
7708,P0C6X1,1,1031
7709,P0C6X1,1435,1598
7710,P0C6X1,1906,1986
7711,P0C6X1,2001,2738
7712,P0C6X1,3266,3541
7713,P0C6X1,5080,5270
7714,P0C6X2,331,807
7715,P0C6X2,1517,1648
7716,P0C6X2,2162,2606
7717,P0C6X2,2619,3149
7718,P0C6X2,3158,3241
7719,P0C6X2,3636,3901
7720,P0C6X2,5470,5655
7721,P0C6X3,331,807
7722,P0C6X3,1487,1618
7723,P0C6X3,2132,2576
7724,P0C6X3,2589,2809
7725,P0C6X3,2829,3119
7726,P0C6X3,3128,3211
7727,P0C6X3,3606,3871
7728,P0C6X3,5440,5569
7729,P0C6X4,331,807
7730,P0C6X4,1467,1598
7731,P0C6X4,2112,2556
7732,P0C6X4,2569,2789
7733,P0C6X4,2809,3099
7734,P0C6X4,3108,3191
7735,P0C6X4,3586,3851
7736,P0C6X4,5420,5605
7737,P0C6X5,1,739
7738,P0C6X5,756,1041
7739,P0C6X5,1420,1548
7740,P0C6X5,1876,2123
7741,P0C6X5,2240,2706
7742,P0C6X5,2723,2842
7743,P0C6X5,3435,3517
7744,P0C6X5,5055,5245
7745,P0C6X6,354,698
7746,P0C6X6,714,849
7747,P0C6X6,1429,1564
7748,P0C6X6,2028,2950
7749,P0C6X6,3075,3152
7750,P0C6X6,3548,3729
7751,P0C6X6,3744,3831
7752,P0C6X6,5382,5510
7753,P0C6X7,128,818
7754,P0C6X7,1999,2208
7755,P0C6X7,2222,2616
7756,P0C6X7,2628,2753
7757,P0C6X7,2764,3142
7758,P0C6X7,3571,3758
7759,P0C6X7,4736,4865
7760,P0C6X7,5386,5574
7761,P0C6X8,356,567
